skeleton_id,joint_name,x,y,z
Standard Child Skeleton,head_proximal,0,0.049,0.574
Standard Child Skeleton,centre_of_head,0,0.049,0.4921
Standard Child Skeleton,chin,0,0.105,0.434
Standard Child Skeleton,manubrium,0,0,0.35629999999999995
Standard Child Skeleton,sacral_promontory,0,0,0
Standard Child Skeleton,left_shoulder,0.17429999999999998,0.049,0.37029999999999996
Standard Child Skeleton,left_elbow,0.19669999999999999,0.049,0.1435
Standard Child Skeleton,left_wrist,0.20439999999999997,0.049,-0.0399
Standard Child Skeleton,left_fingertips,0.20439999999999997,0.049,-0.1813
Standard Child Skeleton,left_ilium_superior,0.133,0.021,0.0287
Standard Child Skeleton,left_ischium,0.06299999999999999,0,-0.056
Standard Child Skeleton,left_acetabulum,0.12599999999999997,0.049,-0.035
Standard Child Skeleton,left_knee,0.09029999999999999,0.06299999999999999,-0.3213
Standard Child Skeleton,left_ankle,0.048299999999999996,0.042,-0.6026999999999999
Standard Child Skeleton,left_toes,0.048299999999999996,0.18619999999999998,-0.6761999999999999
Standard Child Skeleton,right_shoulder,-0.17429999999999998,0.049,0.37029999999999996
Standard Child Skeleton,right_elbow,-0.19669999999999999,0.049,0.1435
Standard Child Skeleton,right_wrist,-0.20439999999999997,0.049,-0.0399
Standard Child Skeleton,right_fingertips,-0.20439999999999997,0.049,-0.1813
Standard Child Skeleton,right_ilium_superior,-0.133,0.021,0.0287
Standard Child Skeleton,right_ischium,-0.06299999999999999,0,-0.056
Standard Child Skeleton,right_acetabulum,-0.12599999999999997,0.049,-0.035
Standard Child Skeleton,right_knee,-0.09029999999999999,0.06299999999999999,-0.3213
Standard Child Skeleton,right_ankle,-0.048299999999999996,0.042,-0.6026999999999999
Standard Child Skeleton,right_toes,-0.048299999999999996,0.18619999999999998,-0.6761999999999999
