skeleton_id,joint_name,x,y,z
Standard Skeleton Lying Down,head_proximal,0.0,0.82,0.07
Standard Skeleton Lying Down,centre_of_head,0.0,0.703,0.07
Standard Skeleton Lying Down,chin,0.0,0.62,0.15
Standard Skeleton Lying Down,manubrium,0.0,0.509,0.18
Standard Skeleton Lying Down,sacral_promontory,0.0,0.0,0.0
Standard Skeleton Lying Down,left_shoulder,0.249,0.529,0.07
Standard Skeleton Lying Down,left_elbow,0.281,0.205,0.07
Standard Skeleton Lying Down,left_wrist,0.292,-0.057,0.07
Standard Skeleton Lying Down,left_fingertips,0.292,-0.259,0.07
Standard Skeleton Lying Down,right_shoulder,-0.249,0.529,0.07
Standard Skeleton Lying Down,right_elbow,-0.281,0.205,0.07
Standard Skeleton Lying Down,right_wrist,-0.292,-0.057,0.07
Standard Skeleton Lying Down,right_fingertips,-0.292,-0.259,0.07
Standard Skeleton Lying Down,left_ilium_superior,0.19,0.041,0.03
Standard Skeleton Lying Down,left_acetabulum,0.18,-0.05,0.07
Standard Skeleton Lying Down,left_ischium,0.09,-0.08,0.0
Standard Skeleton Lying Down,left_knee,0.129,-0.459,0.09
Standard Skeleton Lying Down,left_ankle,0.069,-0.861,0.06
Standard Skeleton Lying Down,left_toes,0.069,-0.966,0.266
Standard Skeleton Lying Down,right_ilium_superior,-0.19,0.041,0.03
Standard Skeleton Lying Down,right_acetabulum,-0.18,-0.05,0.07
Standard Skeleton Lying Down,right_ischium,-0.09,-0.08,0.0
Standard Skeleton Lying Down,right_knee,-0.129,-0.459,0.09
Standard Skeleton Lying Down,right_ankle,-0.069,-0.861,0.06
Standard Skeleton Lying Down,right_toes,-0.069,-0.966,0.266
